source,target,synapses,type
ADAL,ADAL,6,chemical
ADAL,ADAR,3,electrical
ADAL,ADFL,5,electrical
ADAL,ADLL,2,chemical
ADAL,AIAL,2,chemical
ADAL,AIBL,2,chemical
ADAL,AIBR,2,chemical
ADAL,AVAL,3,chemical
ADAL,AVAR,7,chemical
ADAL,AVBL,5,chemical
ADAL,AVBR,21,chemical
ADAL,AVDL,1,chemical
ADAL,AVDR,2,chemical
ADAL,AVDR,2,electrical
ADAL,AVEL,3,chemical
ADAL,AVJR,11,chemical
ADAL,OLQVL,4,electrical
ADAL,PVPL,1,chemical
ADAL,PVQL,4,electrical
ADAL,RICL,3,chemical
ADAL,RICR,1,chemical
ADAL,RID,1,chemical
ADAL,RIML,9,chemical
ADAL,RIPL,4,chemical
ADAL,SMDVR,3,chemical
ADAL,URAVL,1,chemical
ADAL,URXL,2,chemical
ADAR,ADAL,3,electrical
ADAR,ADFR,4,electrical
ADAR,AIBL,1,chemical
ADAR,AIBR,3,chemical
ADAR,ASHR,2,chemical
ADAR,ASHR,3,electrical
ADAR,AVAR,8,chemical
ADAR,AVBL,8,chemical
ADAR,AVBR,15,chemical
ADAR,AVDL,2,chemical
ADAR,AVDL,3,electrical
ADAR,AVDR,3,chemical
ADAR,AVEL,1,chemical
ADAR,AVJL,13,chemical
ADAR,PVQR,2,electrical
ADAR,PVR,6,chemical
ADAR,RIFR,1,chemical
ADAR,RIMR,15,chemical
ADAR,RIPR,9,chemical
ADAR,RIVR,5,chemical
ADAR,SMDVL,1,chemical
ADAR,URXR,2,chemical
ADAR,URYDR,2,chemical
ADEL,ADAL,1,chemical
ADEL,ADER,5,chemical
ADEL,AINL,2,electrical
ADEL,ALML,1,chemical
ADEL,AVAL,7,chemical
ADEL,AVAR,9,chemical
ADEL,AVDL,2,chemical
ADEL,AVEL,3,chemical
ADEL,AVHL,2,chemical
ADEL,AVL,1,chemical
ADEL,BDUL,1,chemical
ADEL,CEPDL,1,chemical
ADEL,FLPL,4,chemical
ADEL,IL1L,3,chemical
ADEL,IL2L,5,chemical
ADEL,OLLL,6,chemical
ADEL,RIAL,2,chemical
ADEL,RIFL,1,chemical
ADEL,RIGL,18,chemical
ADEL,RIGR,15,chemical
ADEL,RIGR,1,electrical
ADEL,RIH,3,chemical
ADEL,RIVL,2,chemical
ADEL,RIVR,2,chemical
ADEL,RMDL,11,chemical
ADEL,RMER,1,chemical
ADEL,RMGL,7,chemical
ADEL,RMHL,1,chemical
ADEL,RMHR,2,chemical
ADEL,SAADR,1,chemical
ADEL,SIADR,2,chemical
ADEL,SIBVR,2,chemical
ADEL,SMBDR,1,chemical
ADEL,SMBVL,2,chemical
ADEL,URBL,2,chemical
ADEL,VB1,2,chemical
ADER,ADAR,1,chemical
ADER,ADEL,3,chemical
ADER,AINR,4,electrical
ADER,ALNR,1,chemical
ADER,ALNR,2,electrical
ADER,ASIR,1,chemical
ADER,AVAL,9,chemical
ADER,AVAR,4,chemical
ADER,AVDR,5,chemical
ADER,AVER,4,chemical
ADER,AVJR,1,chemical
ADER,AVJR,1,electrical
ADER,AVKL,4,electrical
ADER,CEPDR,5,chemical
ADER,CEPVR,1,chemical
ADER,FLPL,1,chemical
ADER,FLPR,4,chemical
ADER,FLPR,4,electrical
ADER,IL1R,1,chemical
ADER,IL2R,1,chemical
ADER,OLLR,3,chemical
ADER,PVQR,2,electrical
ADER,RIAR,1,chemical
ADER,RIGL,12,chemical
ADER,RIGR,11,chemical
ADER,RMDL,1,chemical
ADER,RMDR,6,chemical
ADER,RMGR,5,chemical
ADER,SMDVR,1,chemical
ADER,URBR,1,chemical
ADER,URXR,2,chemical
ADFL,ADAL,2,chemical
ADFL,ADAL,5,electrical
ADFL,ADLL,1,chemical
ADFL,AFDL,1,chemical
ADFL,AFDL,3,electrical
ADFL,AIAL,2,chemical
ADFL,AIBL,2,chemical
ADFL,AIBR,1,chemical
ADFL,AIZL,39,chemical
ADFL,AIZL,1,electrical
ADFL,ASHL,1,electrical
ADFL,AUAL,12,chemical
ADFL,AWBL,2,chemical
ADFL,AWCL,1,electrical
ADFL,AWCR,2,chemical
ADFL,RIAL,46,chemical
ADFL,RIAL,1,electrical
ADFL,RIBL,4,chemical
ADFL,RIGL,4,chemical
ADFL,RIGR,1,chemical
ADFL,RIPL,2,electrical
ADFL,RIR,4,chemical
ADFL,RIVL,1,chemical
ADFL,SMBDL,1,chemical
ADFL,SMBVL,9,chemical
ADFL,SMDVL,1,chemical
ADFL,URBL,1,electrical
ADFL,URXL,1,chemical
ADFR,ADAR,4,chemical
ADFR,ADAR,4,electrical
ADFR,ADFR,1,chemical
ADFR,AFDR,1,chemical
ADFR,AFDR,5,electrical
ADFR,AIAR,4,electrical
ADFR,AIYR,2,chemical
ADFR,AIZR,37,chemical
ADFR,ASGR,1,electrical
ADFR,ASHR,6,chemical
ADFR,AUAR,9,chemical
ADFR,AVHL,1,chemical
ADFR,AWAR,1,chemical
ADFR,AWAR,3,electrical
ADFR,AWBR,4,chemical
ADFR,AWBR,1,electrical
ADFR,AWCR,1,chemical
ADFR,BAGL,6,chemical
ADFR,OLQVR,1,chemical
ADFR,PVPR,1,chemical
ADFR,RIAR,61,chemical
ADFR,RIGR,24,chemical
ADFR,RIH,2,chemical
ADFR,RIH,1,electrical
ADFR,RIR,7,chemical
ADFR,SMBDR,2,chemical
ADFR,SMBVR,19,chemical
ADFR,SMBVR,1,electrical
ADFR,SMDVR,2,electrical
ADFR,URXR,10,chemical
ADFR,URYVR,2,chemical
ADLL,ADAL,1,chemical
ADLL,ADLR,6,electrical
ADLL,AIAL,19,chemical
ADLL,AIBL,26,chemical
ADLL,ALA,5,chemical
