name,type,x_um,y_um,z_um
ADAL,interneuron,8.65,-239.25,31.05
ADAR,interneuron,-12.90,-239.25,31.05
ADEL,sensory,11.00,-242.38,32.45
ADER,sensory,-15.30,-242.38,32.45
ADFL,sensory,3.73,-267.90,41.60
ADFR,sensory,-8.00,-267.90,41.60
ADLL,sensory,2.70,-265.75,47.55
ADLR,sensory,-6.95,-265.75,47.55
AFDL,sensory,4.50,-268.38,43.50
AFDR,sensory,-8.75,-268.38,43.50
AIAL,interneuron,0.80,-264.15,35.55
AIAR,interneuron,-5.10,-264.15,35.55
AIBL,interneuron,2.70,-266.20,37.00
AIBR,interneuron,-6.90,-266.20,37.00
AIML,interneuron,9.25,-253.45,28.40
AIMR,interneuron,-13.50,-253.45,28.40
AINL,interneuron,-1.45,-269.54,39.36
AINR,interneuron,-3.07,-269.54,39.36
AIYL,interneuron,7.45,-252.50,28.95
AIYR,interneuron,-11.70,-252.50,28.95
AIZL,interneuron,5.60,-258.75,37.45
AIZR,interneuron,-9.95,-258.75,37.45
ALA,unknown,-1.35,-271.00,50.85
ALML,sensory,22.68,-60.75,-37.15
ALMR,sensory,-24.15,-60.75,-37.15
ALNL,unknown,0.33,406.70,12.38
ALNR,unknown,-2.92,406.70,12.38
AQR,sensory,-14.80,-243.05,33.95
AS1,motor,-0.28,-229.04,4.74
AS10,motor,-1.90,278.25,-24.00
AS11,motor,-1.88,315.70,-26.12
AS2,motor,-1.88,-203.88,-12.72
AS3,motor,-1.90,-151.40,-45.65
AS4,motor,-1.88,-90.20,-65.38
AS5,motor,-1.88,-3.75,-52.52
AS6,motor,-1.90,28.25,-34.25
AS7,motor,-1.90,119.90,3.95
AS8,motor,-1.90,181.85,-1.78
AS9,motor,-1.88,228.92,-14.50
ASEL,sensory,4.12,-263.68,40.05
ASER,sensory,-8.38,-263.68,40.05
ASGL,sensory,3.70,-265.35,45.42
ASGR,sensory,-8.00,-265.35,45.42
ASHL,sensory,5.55,-265.62,41.00
ASHR,sensory,-9.80,-265.62,41.00
